,Genus,species,average_abundance
243,Prevotella,Prevotella copri,6.423761531531531
279,Faecalibacterium,Faecalibacterium prausnitzii,4.608326756756756
438,Bacteroides,Bacteroides vulgatus,3.6664458558558564
42,Eubacterium,Eubacterium rectale,3.370044864864864
308,Escherichia,Escherichia coli,2.335854504504505
157,Ruminococcus,Ruminococcus gnavus,2.0085194594594595
20,Alistipes,Alistipes putredinis,1.9853988288288296
181,Parabacteroides,Parabacteroides merdae,1.8793068468468477
336,Roseburia,Roseburia inulinivorans,1.8314354054054054
261,Bifidobacterium,Bifidobacterium longum,1.6652301801801803
441,Phascolarctobacterium,Phascolarctobacterium succinatutens,1.3778472972972977
177,Collinsella,Collinsella aerofaciens,0.9088708108108108
462,Sutterella,Sutterella wadsworthensis,0.8797198198198202
377,Fusobacterium,Fusobacterium mortiferum,0.8374686486486488
209,Streptococcus,Streptococcus salivarius,0.7743718018018017
172,Barnesiella,Barnesiella intestinihominis,0.7324883783783787
372,Haemophilus,Haemophilus parainfluenzae,0.6733198198198197
300,Clostridium,Clostridium bolteae,0.5527096396396395
140,Megamonas,Megamonas hypermegale,0.5211768468468468
415,Akkermansia,Akkermansia muciniphila,0.4828044144144144
511,Klebsiella,Klebsiella pneumoniae,0.47008819819819825
254,Odoribacter,Odoribacter splanchnicus,0.46936342342342374
152,Dorea,Dorea formicigenerans,0.4599372972972973
318,Dialister,Dialister invisus,0.45104927927927924
515,Lachnospiraceae,Lachnospiraceae bacterium 1 1 57FAA,0.293674954954955
290,Raoultella,Raoultella ornithinolytica,0.29033774774774784
264,Coprococcus,Coprococcus comes,0.2727747747747748
143,Lactococcus,Lactococcus garvieae,0.26774081081081086
166,Veillonella,Veillonella parvula,0.24068468468468462
104,Enterobacter,Enterobacter cloacae,0.19923315315315318
330,Paraprevotella,Paraprevotella clara,0.1595372972972973
471,Catenibacterium,Catenibacterium mitsuokai,0.1531706306306306
138,Flavonifractor,Flavonifractor plautii,0.12047747747747749
513,Mitsuokella,Mitsuokella multacida,0.11777639639639641
362,Subdoligranulum,Subdoligranulum sp 4 3 54A2FAA,0.09530630630630631
135,Bacteroidales,Bacteroidales bacterium ph8,0.09162963963963966
387,Enterococcus,Enterococcus faecalis,0.08951882882882883
19,Lactobacillus,Lactobacillus salivarius,0.08156315315315316
485,Turicibacter,Turicibacter sanguinis,0.07774036036036036
296,Helicobacter,Helicobacter cinaedi,0.07350927927927928
496,Brachyspira,Brachyspira pilosicoli,0.06655486486486487
79,Acidaminococcus,Acidaminococcus fermentans,0.05456864864864866
265,Parasutterella,Parasutterella excrementihominis,0.05349288288288289
321,Methanobrevibacter,Methanobrevibacter smithii,0.049468918918918914
27,Coprobacter,Coprobacter fastidiosus,0.04922018018018017
295,Peptostreptococcus,Peptostreptococcus stomatis,0.04016864864864864
332,Anaerostipes,Anaerostipes hadrus,0.03960765765765764
84,Solobacterium,Solobacterium moorei,0.03784882882882883
66,Megasphaera,Megasphaera elsdenii,0.03701207207207207
385,Ruminococcaceae,Ruminococcaceae bacterium D16,0.0360154054054054
224,Desulfovibrio,Desulfovibrio piger,0.03593225225225225
176,Citrobacter,Citrobacter freundii,0.03470648648648649
482,Adlercreutzia,Adlercreutzia equolifaciens,0.03385855855855858
523,Peptostreptococcaceae,Peptostreptococcaceae noname unclassified,0.033776756756756746
208,Burkholderiales,Burkholderiales bacterium 1 1 47,0.030869729729729727
468,Bilophila,Bilophila wadsworthia,0.0270672072072072
460,Holdemania,Holdemania filiformis,0.02660684684684685
399,Rothia,Rothia mucilaginosa,0.02453054054054054
59,Anaerotruncus,Anaerotruncus colihominis,0.0195227927927928
435,Eggerthella,Eggerthella lenta,0.018220540540540536
220,Photobacterium,Photobacterium damselae,0.018013963963963965
347,Clostridiales,Clostridiales bacterium 1 7 47FAA,0.017968828828828828
202,Atopobium,Atopobium parvulum,0.017718828828828824
58,Cetobacterium,Cetobacterium somerae,0.01722162162162162
355,Alloprevotella,Alloprevotella tannerae,0.015912612612612613
26,Leuconostoc,Leuconostoc lactis,0.014466306306306307
67,Succinatimonas,Succinatimonas hippei,0.012714414414414413
179,Granulicatella,Granulicatella adiacens,0.010990720720720718
8,Gemella,Gemella morbillorum,0.010558198198198199
53,Parvimonas,Parvimonas micra,0.010305675675675677
3,Blautia,Blautia hydrogenotrophica,0.009466396396396397
378,Actinomyces,Actinomyces odontolyticus,0.008839549549549552
197,Pseudomonas,Pseudomonas aeruginosa,0.00837009009009009
467,Porphyromonas,Porphyromonas asaccharolytica,0.00815153153153153
334,Alloscardovia,Alloscardovia omnicolens,0.008105765765765766
123,Oscillibacter,Oscillibacter sp KLE 1745,0.005424144144144143
434,Aggregatibacter,Aggregatibacter segnis,0.00503972972972973
366,Synergistes,Synergistes sp 3 1 syn1,0.005036486486486487
215,Erysipelotrichaceae,Erysipelotrichaceae bacterium 6 1 45,0.004726126126126127
361,Pseudoflavonifractor,Pseudoflavonifractor capillosus,0.0044681081081081086
325,Aeromonas,Aeromonas veronii,0.0038844144144144143
351,Gordonibacter,Gordonibacter pamelaeae,0.003251441441441442
105,Campylobacter,Campylobacter concisus,0.0032204504504504505
396,Methanosphaera,Methanosphaera stadtmanae,0.0026625225225225227
338,Scardovia,Scardovia wiggsiae,0.0025815315315315317
277,Oribacterium,Oribacterium sinus,0.0025382882882882883
12,Slackia,Slackia piriformis,0.0024932432432432433
426,Eikenella,Eikenella corrodens,0.002454234234234234
408,Abiotrophia,Abiotrophia defectiva,0.002425495495495495
324,Varibaculum,Varibaculum cambriense,0.002376486486486486
218,Clostridiaceae,Clostridiaceae bacterium JC118,0.00227981981981982
45,Neisseria,Neisseria flavescens,0.002249189189189189
407,Gardnerella,Gardnerella vaginalis,0.0020883783783783782
17,Butyricicoccus,Butyricicoccus pullicaecorum,0.002004234234234234
142,Serratia,Serratia marcescens,0.0019459459459459458
94,Morganella,Morganella morganii,0.0018453153153153155
212,Bacillus,Bacillus subtilis,0.0017200900900900902
371,Oxalobacter,Oxalobacter formigenes,0.0015884684684684684
206,Coriobacteriaceae,Coriobacteriaceae bacterium phI,0.00157009009009009
526,Actinobacillus,Actinobacillus unclassified,0.0014351351351351352
108,Bulleidia,Bulleidia extructa,0.0014301801801801799
130,Treponema,Treponema medium,0.0014115315315315316
148,Staphylococcus,Staphylococcus aureus,0.001365135135135135
34,Finegoldia,Finegoldia magna,0.001323243243243243
442,Peptoniphilus,Peptoniphilus lacrimalis,0.0012825225225225223
125,Anaeroglobus,Anaeroglobus geminatus,0.0011735135135135136
61,Cryptobacterium,Cryptobacterium curtum,0.0011685585585585584
201,Butyrivibrio,Butyrivibrio crossotus,0.0009826126126126127
180,Olsenella,Olsenella uli,0.0009153153153153153
153,Stomatobaculum,Stomatobaculum longum,0.000871261261261261
234,Butyricimonas,Butyricimonas synergistica,0.0008634234234234234
46,Selenomonas,Selenomonas sputigena,0.0007525225225225225
87,Mogibacterium,Mogibacterium sp CM50,0.0007163063063063063
447,Pyramidobacter,Pyramidobacter piscolens,0.0006802702702702703
182,Proteus,Proteus mirabilis,0.0006773873873873875
506,Dysgonomonas,Dysgonomonas mossii,0.0006036936936936937
199,Weissella,Weissella confusa,0.0005677477477477477
31,Fretibacterium,Fretibacterium fastidiosum,0.00048
299,Eggerthia,Eggerthia catenaformis,0.0004530630630630631
155,Filifactor,Filifactor alocis,0.00035765765765765766
287,Parascardovia,Parascardovia denticolens,0.00034630630630630633
525,Edwardsiella,Edwardsiella tarda,0.0003445945945945946
285,Mobiluncus,Mobiluncus curtisii,0.0003268468468468468
320,Anaerococcus,Anaerococcus vaginalis,0.0002418018018018018
245,Enterobacteriaceae,Enterobacteriaceae bacterium 9 2 54FAA,0.00022666666666666668
7,Corynebacterium,Corynebacterium durum,0.0002018018018018018
274,Dolosigranulum,Dolosigranulum pigrum,0.00018963963963963964
448,Meiothermus,Meiothermus silvanus,0.0001500900900900901
359,Cedecea,Cedecea davisae,0.00013378378378378378
478,Burkholderia,Burkholderia unclassified,0.00011792792792792792
188,Shuttleworthia,Shuttleworthia satelles,0.00010315315315315316
419,Moraxella,Moraxella catarrhalis,9.864864864864865e-05
454,Shigella,Shigella sonnei,7.837837837837837e-05
512,Lachnoanaerobaculum,Lachnoanaerobaculum saburreum,7.558558558558559e-05
349,Hafnia,Hafnia alvei,7.495495495495494e-05
56,Tannerella,Tannerella forsythia,6.135135135135135e-05
126,Deinococcus,Deinococcus unclassified,5.927927927927928e-05
303,Chlorobium,Chlorobium phaeobacteroides,5.81981981981982e-05
80,Anaerofustis,Anaerofustis stercorihominis,4.945945945945946e-05
242,Ralstonia,Ralstonia pickettii,4.540540540540541e-05
333,Comamonas,Comamonas unclassified,4.108108108108108e-05
450,Centipeda,Centipeda periodontii,2.963963963963964e-05
23,Propionibacterium,Propionibacterium acnes,1.7387387387387388e-05
379,Desulfobulbus,Desulfobulbus sp oral taxon 041,1.4774774774774774e-05
139,Thermus,Thermus scotoductus,1.1891891891891893e-05
159,Pediococcus,Pediococcus acidilactici,0.0
298,Facklamia,Facklamia unclassified,0.0
315,Rahnella,Rahnella aquatilis,0.0
164,Bacteroidetes,Bacteroidetes bacterium oral taxon 272,0.0
348,Kingella,Kingella oralis,0.0
508,Granulicella,Granulicella unclassified,0.0
60,Stenotrophomonas,Stenotrophomonas maltophilia,0.0
465,Carnobacterium,Carnobacterium maltaromaticum,0.0
13,Cellulophaga,Cellulophaga unclassified,0.0
131,Catonella,Catonella morbi,0.0
99,Capnocytophaga,Capnocytophaga unclassified,0.0
154,Arcobacter,Arcobacter butzleri,0.0
487,Thiomonas,Thiomonas unclassified,0.0
350,Acinetobacter,Acinetobacter johnsonii,0.0
463,Jonquetella,Jonquetella anthropi,0.0
44,Leptotrichia,Leptotrichia hofstadii,0.0
226,Enterorhabdus,Enterorhabdus caecimuris,0.0
227,Naumovozyma,Naumovozyma unclassified,0.0
409,Coprobacillus,Coprobacillus sp 29 1,0.0
405,Marvinbryantia,Marvinbryantia formatexigens,0.0
403,Brevibacterium,Brevibacterium unclassified,0.0
402,Cronobacter,Cronobacter sakazakii,0.0
246,Cardiobacterium,Cardiobacterium valvarum,0.0
77,Tropheryma,Tropheryma whipplei,0.0
388,Pantoea,Pantoea agglomerans,0.0
445,Providencia,Providencia rettgeri,0.0
93,Lautropia,Lautropia mirabilis,0.0
18,Pseudoramibacter,Pseudoramibacter alactolyticus,0.0
184,Candida,Candida glabrata,0.0
91,Cellulosilyticum,Cellulosilyticum lentocellum,0.0
